Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
0.101713066,0.055802245,0.035568781,0.164995804,0.036987871,0.036815273,0.03212075,0.080353371,0.032764716,0.080216676,0.032776378,0.029739834,0.027908752,0.029739834,0.027878232,0.005612032,0.001580403,0.035469842,0.001616629,0.107530326,0.03387503,35
1.041631303,0.122148469,0.061631188,0.142626077,0.076035708,0.057141447,0.037601596,0.085768528,0.040530725,0.087174796,0.035049975,0.033371482,0.029877165,0.033371482,0.029877165,0.02733963,0.007669039,0.032442343,0.011734416,0.115541317,0.043930724,36
0.117070784,0.056656748,0.037323568,0.165804535,0.038620584,0.039846265,0.033397167,0.09537858,0.033837527,0.10233463,0.033737697,0.030731671,0.030212864,0.030731671,0.029831387,0.005390914,0.001641729,0.037079867,0.001538638,0.125379562,0.034802016,37
0.130163537,0.059266042,0.03700313,0.125185013,0.039032578,0.041044568,0.032437746,0.077247572,0.033543878,0.081177995,0.033646144,0.031570915,0.027023727,0.031570915,0.027023727,0.00622162,0.002180617,0.025180586,0.00187406,0.0990692,0.034782941,38
0.164782292,0.054108493,0.038254369,0.16908522,0.039673459,0.040002003,0.033191075,0.082964696,0.034749138,0.07896544,0.03476005,0.030350195,0.030640116,0.030350195,0.030640116,0.005285428,0.001778721,0.035278065,0.002027268,0.108369574,0.036224917,39
0.216268138,0.065293357,0.036774244,0.146288246,0.036774244,0.045654694,0.031424011,0.078901766,0.032384545,0.075288013,0.032410163,0.036285955,0.027573053,0.036285955,0.027573053,0.006379239,0.001877347,0.029653894,0.001669109,0.10438697,0.03352407,40
0.2261136,0.06065461,0.037750822,0.200946063,0.038788434,0.038662971,0.031549397,0.100769001,0.033001861,0.097688258,0.033081561,0.027359426,0.02716106,0.027359426,0.02716106,0.006910031,0.002614396,0.048315434,0.002370871,0.143076219,0.034584574,41
0.143093073,0.05024796,0.037109941,0.161638826,0.038925763,0.036447445,0.033097628,0.088659349,0.034220199,0.092057683,0.034195468,0.027954528,0.029358359,0.027954528,0.029358359,0.004335486,0.001433594,0.034675798,0.00148239,0.119668879,0.035248339,42
1.709162184,0.04380865,0.122072175,0.151445791,0.196993977,0.032996505,0.062744674,0.078276957,0.095621833,0.073289081,0.09080644,0.026108187,0.030045014,0.026108187,0.030045014,0.004824183,0.025454229,0.036468568,0.0441386,0.111680783,0.127580687,43
0.084061638,0.050644692,0.037796598,0.197756931,0.038651101,0.035551921,0.032766658,0.102858015,0.033827371,0.112062257,0.033829253,0.028336003,0.02775616,0.028336003,0.02775616,0.004534561,0.002258701,0.046209824,0.001734166,0.139677271,0.03500801,44
0.111176599,0.052094299,0.036835279,0.138262004,0.045242999,0.036584494,0.03303225,0.077094123,0.034707094,0.083085373,0.034454871,0.029556725,0.028427558,0.029556725,0.028427558,0.004912177,0.001765548,0.029598915,0.002516152,0.101594567,0.035957884,45
0.183896474,0.056610972,0.034012359,0.120576791,0.034012359,0.040742531,0.02955616,0.069715168,0.029607899,0.069169149,0.029526208,0.033112079,0.026337072,0.033112079,0.026337072,0.005985265,0.001877971,0.024870095,0.001487448,0.090638593,0.030579081,46
0.143499973,0.054230563,0.036682688,0.134187832,0.037109941,0.037153847,0.032611985,0.074425469,0.033035359,0.077286944,0.033012893,0.028900588,0.028656444,0.028900588,0.028168155,0.005241884,0.001687005,0.026350695,0.001366,0.094869152,0.033966582,47
0.091404658,0.058854047,0.037186235,0.122590981,0.037354086,0.038375905,0.033241244,0.070842419,0.033241793,0.072373543,0.033119708,0.029831387,0.030334936,0.029831387,0.030243382,0.005731321,0.001708207,0.023047,0.001345029,0.090081638,0.033978026,48
0.150693308,0.04776074,0.037964448,0.199954227,0.041443504,0.035365048,0.03298178,0.096616448,0.034056872,0.099412531,0.033920806,0.026642252,0.027817197,0.026642252,0.027817197,0.004405053,0.002282205,0.046806188,0.001969468,0.134019986,0.03527886,49
0.319073606,0.045166705,0.037399862,0.148424506,0.038025483,0.031708705,0.030049897,0.079345496,0.031261039,0.074334323,0.031059739,0.025329977,0.026382849,0.025329977,0.026382849,0.003906854,0.002368444,0.037856567,0.002317891,0.114156559,0.03286412,50
0.142895998,0.066651411,0.035370413,0.157335773,0.03901732,0.044405578,0.032032336,0.091746321,0.033319155,0.095872432,0.033340964,0.03186084,0.028000304,0.03186084,0.028000304,0.006662976,0.001449941,0.034394576,0.001747434,0.121293962,0.034531165,51
0.141223714,0.052780956,0.036926832,0.164202332,0.037903409,0.039457389,0.031706417,0.082144884,0.032895618,0.079102769,0.033066299,0.030823225,0.027527276,0.030823225,0.027527276,0.004390906,0.001961226,0.036380185,0.001825063,0.114610516,0.034203097,52
0.097484752,0.052491035,0.037918668,0.116395816,0.037918668,0.039393426,0.033731763,0.071367843,0.033774564,0.073456928,0.033646144,0.030777447,0.031174181,0.030777447,0.030533303,0.005739947,0.00164419,0.022019541,0.001363677,0.089280538,0.034607463,53
11.05917983,0.116594188,0.761501491,0.142153054,0.83312732,0.043356361,0.158065763,0.078305291,0.212316511,0.078889146,0.04261845,0.029922942,0.0299382,0.029922942,0.0299382,0.016558446,0.190810042,0.02760567,0.237319804,0.102258336,0.414099336,54
0.205839807,0.07849241,0.037674524,0.138231486,0.038498513,0.04149332,0.032493638,0.080718148,0.033573025,0.08393988,0.033554588,0.029633021,0.02778668,0.029633021,0.02778668,0.011165208,0.00229778,0.030518797,0.001924433,0.106614783,0.035057604,55
0.205721494,0.057022966,0.037827116,0.176958874,0.037903409,0.040761883,0.032075685,0.091311967,0.032759919,0.088410772,0.032806896,0.033539329,0.028046083,0.033539329,0.027252613,0.0050136,0.002363496,0.040797191,0.002026334,0.126619361,0.034287021,56
